h;type;phase;Acroloxus_sp;Aeshna_sp;Agabus_sp_Ad;Anacaena_sp_Ad;Anisus_sp;Aplexa_sp;Asellus_sp;Baetis_sp;Batracobdelloides_sp;Berosus_sp_Lv;Bidessus_sp_Ad;Bithynia_sp;Caenis_sp;Ceratopogonidae_Gen_sp;Cercyon_sp_Ad;Chironomidae_Gen_sp;Cloeon_sp;Coenagrion_sp;Colymbetes_sp_Lv;Copelatus_sp_Ad;Copelatus_sp_Lv;Corixidae_Gen_sp;Culicidae_Gen_sp;Curculionidae_Gen_sp_Ad;Cymatia_sp;Cymbiodyta_sp_Ad;Dina_sp;Dryops_sp_Ad;Dytiscidae_Gen_sp_Lv;Enochrus_sp_Ad;Ephydridae_Gen_sp;Erpobdella_sp;Erpobdellidae_Gen_sp;Gerridae_Gen_sp;Glossiphonia_sp;Glossiphoniidae_Gen_sp;Glyphotaelius_sp;Grammotaulius_sp;Gyraulus_sp;Haemopis_sp;Haliplus_sp_Lv;Helobdella_sp;Helochares_sp_Ad;Helophorus_sp_Ad;Hemiclepsis_sp;Hesperocorixa_sp;Hirudo_sp;Hydaticus_sp_Lv;Hydrobius_sp_Ad;Hydrochara_sp_Ad;Hydrochara_sp_Lv;Hydroglyphus_sp_Ad;Hydrometra_sp;Hydrophilidae_Gen_sp_Lv;Hydrophilus_sp_Lv;Hydroporus_sp_Ad;Hydropsyche_sp;Hydroptila_sp;Hygrotus_sp_Ad;Hyphydrus_sp_Ad;Hyphydrus_sp_Lv;Ilybius_sp_Ad;Ilyocoris_sp;Ironoquia_sp;Ischnura_sp;Laccophilus_sp_Ad;Leptoceridae_Gen_sp;Lestes_sp;Libellula_sp;Libellulidae_Gen_sp;Limnephilidae_Gen_sp;Limnephilus_sp;Lymnaea_sp;Lymnaeidae_Gen_sp;Mesovelia_sp;Metreletus_sp;Micronecta_sp;Muscidae_Gen_sp;Musculium_sp;Nepa_sp;Niphargus_sp;Noterus_sp_Ad;Notonecta_sp;Notonectidae_Gen_sp;Oecetis_sp;Orchestia_sp;Orthetrum_sp;Oxyethira_sp;Paraleptophlebia_sp;Peltodytes_sp_Ad;Physa_sp;Physella_sp;Physidae_Gen_sp;Pisidium_sp;Planorbarius_sp;Planorbis_sp;Platambus_sp_Ad;Platycnemis_sp;Plea_sp;Porhydrus_sp_Lv;Potamophilus_sp_Lv;Radix_sp;Ranatra_sp;Rhantus_sp_Lv;Sigara_sp;Simuliidae_Gen_sp;Spercheus_sp_Ad;Sphaerium_sp;Stagnicola_sp;Stratiomyidae_Gen_sp;Sympetrum_sp;Tabanidae_Gen_sp;Tipulidae_Gen_sp;Valvata_sp;Viviparus_sp
BAR03;int;flow;0;0;0;0;262.4;0;28.8;0;0;0;0;0;0;0;0;1248;0;0;0;0;0;0;0;0;0;0;3.2;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;3.2;0;0;0;16;0;0;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;0;0;28.8;121.6;214.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2
BAR04;int;flow;0;0;0;0;3.2;0;80;0;0;0;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;3.2;0;3.2;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;19.2;0;0;0;0;9.6;0;3.2;0;0;0;0;0;0;0;12.8;0;0;38.4;48;28.8;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0
BAR05;int;flow;3.2;0;0;0;35.2;0;70.4;0;0;0;0;0;0;0;0;76.8;9.6;0;0;0;0;0;0;0;0;0;0;3.2;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;3.2;3.2;0;0;48;0;0;0;0;9.6;0;0;0;0;0;0;0;758.4;0;16;0;0;48;57.6;112;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0
BAR06;int;pool;0;0;0;0;156.8;0;32;0;0;0;0;0;0;0;3.2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;9.6;0;0;0;0;0;0;0;0;0;6.4;0;3.2;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;44.8;0;0;0;0;0;3.2;0;73.6;0;0;0;0;0;0;83.2;0;0;35.2;51.2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0
BAR07;int;flow;0;0;0;0;448;0;1148.8;0;0;0;0;0;0;0;0;259.2;6.4;0;0;0;0;0;0;22.4;0;0;0;3.2;0;0;0;0;3.2;0;0;3.2;0;0;0;0;3.2;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2;0;0;0;0;0;0;3.2;0;0;0;0;0;70.4;0;0;0;0;0;0;163.2;3.2;0;0;0;0;0;0;0;0;428.8;0;0;0;166.4;579.2;0;0;0;0;0;3.2;0;0;0;0;0;0;9.6;0;6.4;0;0;0;3.2
BAR08;int;flow;16;0;0;6.4;217.6;0;841.6;0;0;0;0;0;0;0;0;3.2;38.4;0;0;0;0;0;3.2;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;3.2;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;19.2;0;0;0;0;0;0;108.8;0;0;0;0;0;0;0;0;0;339.2;0;0;80;41.6;348.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRA03;int;pool;0;0;3.2;0;32;0;38.4;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;22.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0
BRA04;int;pool;0;0;0;0;32;0;22.4;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;3.2;41.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.2;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0
BRA07;int;flow;0;0;0;0;179.2;0;38.4;0;0;0;0;0;0;0;0;19.2;16;0;0;0;0;0;406.4;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;0;0;22.4;0;0;16;0;0;0;0;3.2;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRA11;int;flow;0;0;3.2;0;28.8;0;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;652.8;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0
BRA12;int;pool;0;0;0;0;32;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;57.6;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KAT04;int;flow;0;0;0;3.2;12.8;0;25.6;0;0;0;0;0;0;0;0;22.4;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;6.4;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;16;0
KAT05;int;pool;3.2;0;0;0;131.2;0;22.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.6;0;0;0;0;0;12.8;0;0;0;0;0;0;0;3.2;3.2;9.6;0;0;0;0;22.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;19.2;0;0;0;0;566.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;3.2;0;0;28.8;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;0;0;25.6;0
KAT07;int;pool;0;0;0;0;345.6;0;9.6;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;6.4;0;0;0;0;6.4;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;3.2;0;3.2;0;0;0;0;96;0;0;0;0;0;9.6;0;0;0;0;0;0;0;3.2;3.2;0;0;3.2;0
KOD03;per;per;0;0;0;0;3.2;0;60.8;0;0;0;0;12.8;0;12.8;0;28.8;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;6.4;0;0;0;0;0;0;54.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0
KOD04;per;per;0;0;0;0;0;0;60.8;0;0;0;0;0;0;12.8;0;124.8;25.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;6.4;0;0;0;0;0;0;12.8;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;3.2;0
KOD05;per;per;0;0;3.2;0;0;0;16;0;0;0;0;19.2;0;48;0;60.8;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KOD06;per;per;0;0;0;0;0;0;355.2;0;0;0;0;70.4;3.2;3.2;0;16;16;0;0;0;0;115.2;0;0;0;0;0;0;9.6;0;0;3.2;0;0;28.8;0;0;0;0;0;0;64;0;25.6;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;12.8;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;0;0;3.2;0;0;16;6.4;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;0;6.4;0;0;0;0
KOD07;per;per;0;0;0;0;3.2;0;652.8;0;3.2;0;0;9.6;0;3.2;0;492.8;102.4;0;0;0;0;6.4;0;0;0;0;0;0;9.6;0;0;16;0;0;9.6;25.6;0;0;0;0;12.8;35.2;0;3.2;3.2;3.2;0;0;0;0;9.6;0;0;0;0;0;0;0;0;0;6.4;0;16;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;3.2;0;0;0;0;3.2;6.4;0;0;0;0;0;3.2;6.4;0;0;0;3.2;0;0;0;38.4;3.2;89.6;0;3.2;0;6.4;0;0;3.2;3.2;3.2;0;0;0;22.4;0
KOD08;per;per;0;0;0;0;3.2;0;73.6;0;0;0;0;0;0;0;0;3.2;563.2;0;0;0;0;102.4;6.4;0;0;0;0;0;9.6;0;0;0;9.6;0;0;9.6;0;0;0;0;32;28.8;0;6.4;0;19.2;0;0;0;0;0;9.6;0;0;0;0;0;0;0;0;9.6;0;25.6;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;6.4;0;0;0;0;0;25.6;0;0;0;0;0;0;0;0;0;0
KOD09;per;per;0;0;0;0;3.2;0;412.8;0;0;0;0;25.6;3.2;0;0;0;320;76.8;0;0;0;3.2;3.2;0;0;3.2;0;0;0;0;6.4;0;9.6;3.2;12.8;0;0;0;0;0;19.2;9.6;0;0;0;0;0;0;0;3.2;0;3.2;0;0;0;0;0;0;0;0;0;3.2;9.6;0;0;0;0;0;0;0;0;0;3.2;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;3.2;0;0;6.4;0;0;0;0;32;0;6.4;0;0;0;19.2;0;0;0;0;3.2;0;0;0;0;3.2
KOD10;per;per;0;0;0;0;6.4;0;2214.4;0;6.4;0;0;83.2;3.2;0;0;0;256;323.2;0;0;0;0;0;0;0;0;0;0;19.2;0;0;6.4;28.8;0;12.8;0;0;0;0;0;16;12.8;0;0;0;9.6;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;6.4;3.2;0;0;0;0;0;0;0;0;28.8;0;0;0;6.4;0;0;0;12.8;0;12.8;9.6;0;0;0;0;0;3.2;0;0;0;0;0;0;0
KOD11;per;per;0;0;0;0;0;0;227.2;0;0;0;0;9.6;3.2;3.2;0;3.2;3.2;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;25.6;0;0;19.2;0;0;0;0;0;0;19.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.8;0;0;0;0;0;0;0
KOD12;per;per;0;0;0;0;0;0;294.4;0;0;0;0;12.8;0;3.2;0;19.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;6.4;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4;0;0;0;0;0;0;0
